Unnamed: 0,PID,X,age,choice_strategy,clear_instructions,dominant_hand,gender,keys,learning_strategy,race.x,race.y,American.Indian.or.Alaska.Native,Asian,Black.or.African.American,Decline.to.answer,Hispanic.or.Latino,Native.Hawaiian.or.Other.Pacific.Islander,White,version,key_acc,test_acc,training_acc
7,10681,7,33,At first it was just random Then I started noticing what trumped what so i started memorizing that and then testing them out on each other and figured out the order Green trumped all Blue with the yellow quadrants was next Blue with the squares after that then tiger then red then purple then the blue with the orange covering it was last,No it was pretty easy to follow,Right,Male,Second image,I figured out what trumped what in the lineup of choices,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.98406374501992,0.734265734265734
17,11498,17,31,randomly at first then i started to learn the relationship between the pictures Barring some mistypes I decided based on what I understood of the relationship between pictures,no,Right,Male,First image,Just went with my intuition based on the feedback I recieved,Black or African American,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.793650793650794,0.755244755244755
21,12053,21,32,At first I wasnt sure what the patterns meant but as the rounds started to pass by I started to guess that patterns had a rank and tried to memorize what the rank or priority of each pattern,The instructions were clear,Right,Male,Second image,I didnt have much of a strategy at first but I tried to figure out what the pattern and meaning behind the choices Although Im not confidently sure I suspect that the choices had a rank or priority for each pattern,Asian,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.51984126984127,0.465277777777778
22,12066,22,23,By memorization I know the light green one was the least liked one compared to all of them Next was orange then pink It took me a while to get but I managed to catch on,,Right,Male,First image,Stay away from green completely Pink over orange and light blue over pink Dark blue over light blue and Colorful red  swirls over dark blue The strategy I used is just using memorization,Hispanic or LatinoWhite,Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.792,0.510489510489511
23,12200,23,26,By gut instinct What seemed right,Everything was clear,Right,Female,First image,I just let instinct take over and guide me on which to choose ,American Indian or Alaska NativeWhite,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.436,0.468531468531469
30,12772,30,24,It seemed like certain patterns were repeating so I choose the opposite option the next time if I failed the pattern initially or kept my answer if I choose the right answer initially I tried to remember as many as I could Also there were two options that had definitive answers regardless of the counter option,No,Right,Male,First image,I relied on memory for the most part,Black or African American,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.841269841269841,0.763888888888889
32,12999,32,34,The image with the most complex andor vivid patterns,,Right,Male,Second image,Selecting the images described previously as these seemed to correspond to a higher chance of reward,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.574898785425101,0.48951048951049
33,13066,33,33,I learned over time which image beat which other image in each pair and then mentally aligned them in a hierarchy Over the course of a few attempts I learned which image was at the top of the stack and which was at the bottom and sorted them in order of value Orange blue with purple yellow splash green blue with yellow pink orange blotch for example The higher positions on the list beat all the images below it ,no,Right,Male,First image,Over time I learne which image beat each other image and mentally aligned them in order of priority Early on I only knew which has the most and least value but after a few attempts I worked out everything in between as well until I had the complete order of images from top to bottom ,,,,,,,,,,250_Stims_1000_ISI,1,0.908730158730159,0.618055555555556
37,13259,37,27,At first I was choosing at random but after going through a few rounds I picked up on the hierarchy of the different images and was able to choose using that information,,Right,Male,Second image,I realized that there was a hierarchy amongst the images and eventually figured out the correct order based on the feedback given,Asian,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.932270916334661,0.52112676056338
43,13622,43,27,After a while I noticed that the pictures were ranked There was 1 picture that was always wrong one picture that was always correct and in general the redder the picture was the more likely it was to be correct,No,Right,Female,First image,I made mental notes of which pictures appeared to rank above each other and looked for a pattern,White,Not Hispanic or Latino,,,,,,,,250_Stims_2000_ISI_full_sample,1,0.868525896414343,0.527777777777778
